OBJECTNUMMER;Boomsoort;Wetenschappelijke_naam;Plantjaar;Stamomtrek;Stamdiameter;Beschermwaarde;Toelichting;Referentienummer_stadsdeel;Volgnummer;Groep;SELECTIE_CAT;Foto;Vastgesteld;Achtergrond;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1502;"Italiaanse populier";"Populus nigra `Italica`";1948;"400-500 cm";"> 100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"235471";"Z070";"Monumentale boom";"BOOM_50_80";"boom 235461+.jpg";"Ja";"boom 235461+.pdf";"POINT(4.904938,52.343125)";"POINT(52.343125,4.904938)";4.904938;52.343125;
1503;"Italiaanse populier";"Populus nigra `Italica`";1948;"400-500 cm";"> 100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"235473";"Z071";"Monumentale boom";"BOOM_50_80";"boom 235461+.jpg";"Ja";"boom 235461+.pdf";"POINT(4.9049189,52.3429839)";"POINT(52.3429839,4.9049189)";4.9049189;52.3429839;
1504;"Italiaanse populier";"Populus nigra `Italica`";1948;"400-500 cm";"> 100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"235474";"Z072";"Monumentale boom";"BOOM_50_80";"boom 235461+.jpg";"Ja";"boom 235461+.pdf";"POINT(4.9049008,52.3428694)";"POINT(52.3428694,4.9049008)";4.9049008;52.3428694;
1505;"Zomerlinde";"Tilia platyphyllos";1946;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"Herdenkingsboom";"235460";"Z073";"Beschermwaardige houtopstand";"HOUT_50PLUS";"boom 235460.jpg";"Ja";"boom 235460.pdf";"POINT(4.9032061,52.342694)";"POINT(52.342694,4.9032061)";4.9032061;52.342694;
1506;"Beuk";"Fagus sylvatica";1928;"400-500 cm";"> 100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"225324";"Z076";"Monumentale boom";"BOOM_80_100";"boom 225324.jpg";"Ja";"boom 225324.pdf";"POINT(4.8960702,52.3457953)";"POINT(52.3457953,4.8960702)";4.8960702;52.3457953;
1507;"Reuzen levensboom";"Thuja plicata";1928;"100-200 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"200249";"Z077";"Monumentale boom";"BOOM_80_100";"boom 200249+.jpg";"Ja";"boom 200249+.pdf";"POINT(4.8961732,52.3460433)";"POINT(52.3460433,4.8961732)";4.8961732;52.3460433;
1508;"Reuzen levensboom";"Thuja plicata";1928;"100-200 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"200250";"Z078";"Monumentale boom";"BOOM_80_100";"boom 200249+.jpg";"Ja";"boom 200249+.pdf";"POINT(4.8962548,52.3460623)";"POINT(52.3460623,4.8962548)";4.8962548;52.3460623;
1509;"Populier";"Populus canadensis `Robusta`";1945;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"219540";"Z166";"Monumentale boom";"BOOM_50_80";"boom 219540+.jpg";"Ja";"boom 219540+.pdf";"POINT(4.8566911,52.3303649)";"POINT(52.3303649,4.8566911)";4.8566911;52.3303649;
1510;"Populier";"Populus canadensis `Robusta`";1945;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"219542";"Z167";"Monumentale boom";"BOOM_50_80";"boom 219540+.jpg";"Ja";"boom 219540+.pdf";"POINT(4.8568652,52.3303725)";"POINT(52.3303725,4.8568652)";4.8568652;52.3303725;
1511;"Populier";"Populus canadensis `Robusta`";1945;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"219544";"Z168";"Monumentale boom";"BOOM_50_80";"boom 219540+.jpg";"Ja";"boom 219540+.pdf";"POINT(4.857219,52.3303687)";"POINT(52.3303687,4.857219)";4.857219;52.3303687;
1512;"Populier";"Populus canadensis `Robusta`";1945;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"219541";"Z169";"Monumentale boom";"BOOM_50_80";"boom 219540+.jpg";"Ja";"boom 219540+.pdf";"POINT(4.8567178,52.3302542)";"POINT(52.3302542,4.8567178)";4.8567178;52.3302542;
1513;"Populier";"Populus canadensis `Robusta`";1945;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"219543";"Z170";"Monumentale boom";"BOOM_50_80";"boom 219540+.jpg";"Ja";"boom 219540+.pdf";"POINT(4.8570688,52.330258)";"POINT(52.330258,4.8570688)";4.8570688;52.330258;
1514;"Populier";"Populus canadensis `Robusta`";1945;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"219545";"Z171";"Monumentale boom";"BOOM_50_80";"boom 219540+.jpg";"Ja";"boom 219540+.pdf";"POINT(4.8572409,52.330258)";"POINT(52.330258,4.8572409)";4.8572409;52.330258;
1515;"Amerikaanse linde";"Tilia americana";1902;"100-200 cm";"0-25 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"211408";"Z172";"Monumentale boom";"BOOM_100PLUS";"boom 211408.jpg";"Ja";"boom 211408.pdf";"POINT(4.8949778,52.3227278)";"POINT(52.3227278,4.8949778)";4.8949778;52.3227278;
1516;"Paardekastanje";"Aesculus hippocastanum";1931;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"211406";"Z174";"Monumentale boom";"BOOM_80_100";"boom 211406+.jpg";"Ja";"boom 211406+.pdf";"POINT(4.8948052,52.3230063)";"POINT(52.3230063,4.8948052)";4.8948052;52.3230063;
1517;"Paardekastanje";"Aesculus hippocastanum";1931;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"211407";"Z175";"Monumentale boom";"BOOM_80_100";"boom 211406+.jpg";"Ja";"boom 211406+.pdf";"POINT(4.8948538,52.32293)";"POINT(52.32293,4.8948538)";4.8948538;52.32293;
1518;"Amberkleurige sierkers";"prunus maackii `Amber Beauty`";1996;"50  -100 cm";"0-25 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"Herdenkingsboom";"226219";"Z179";"Beschermwaardige houtopstand";"HOUT_50MIN";"boom 226219.jpg";"Ja";"boom 226219.pdf";"POINT(4.8785469,52.3347136)";"POINT(52.3347136,4.8785469)";4.8785469;52.3347136;
1519;"Plataan";"Platanus xhispanica";1918;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"32242";"Z185";"Monumentale boom";"BOOM_80_100";"boom 32242+.jpg";"Ja";"boom 32242+.pdf";"POINT(4.894829,52.3517996)";"POINT(52.3517996,4.894829)";4.894829;52.3517996;
1520;"Plataan";"Platanus xhispanica";1918;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"32245";"Z186";"Monumentale boom";"BOOM_80_100";"boom 32242+.jpg";"Ja";"boom 32242+.pdf";"POINT(4.8948939,52.3516394)";"POINT(52.3516394,4.8948939)";4.8948939;52.3516394;
1521;"Plataan";"Platanus xhispanica";1918;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"32246";"Z187";"Monumentale boom";"BOOM_80_100";"boom 32242+.jpg";"Ja";"boom 32242+.pdf";"POINT(4.8949292,52.3515555)";"POINT(52.3515555,4.8949292)";4.8949292;52.3515555;
1522;"Plataan";"Platanus xhispanica";1918;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"32247";"Z188";"Monumentale boom";"BOOM_80_100";"boom 32242+.jpg";"Ja";"boom 32242+.pdf";"POINT(4.8949578,52.3514754)";"POINT(52.3514754,4.8949578)";4.8949578;52.3514754;
1523;"Plataan";"Platanus xhispanica";1918;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"32240";"Z189";"Monumentale boom";"BOOM_80_100";"boom 32242+.jpg";"Ja";"boom 32242+.pdf";"POINT(4.895005,52.3517005)";"POINT(52.3517005,4.895005)";4.895005;52.3517005;
1524;"Plataan";"Platanus xhispanica";1918;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"32239";"Z190";"Monumentale boom";"BOOM_80_100";"boom 32242+.jpg";"Ja";"boom 32242+.pdf";"POINT(4.8950379,52.3516127)";"POINT(52.3516127,4.8950379)";4.8950379;52.3516127;
1525;"Plataan";"Platanus xhispanica";1918;"200-300 cm";"50-100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"33413";"Z191";"Monumentale boom";"BOOM_80_100";"boom 32242+.jpg";"Ja";"boom 32242+.pdf";"POINT(4.8950698,52.351525)";"POINT(52.351525,4.8950698)";4.8950698;52.351525;
1526;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30068";"Z197";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.904103,52.3558013)";"POINT(52.3558013,4.904103)";4.904103;52.3558013;
1527;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30073";"Z198";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9028599,52.3554083)";"POINT(52.3554083,4.9028599)";4.9028599;52.3554083;
1528;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30074";"Z199";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9026229,52.3553282)";"POINT(52.3553282,4.9026229)";4.9026229;52.3553282;
1529;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30076";"Z201";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9021881,52.3551985)";"POINT(52.3551985,4.9021881)";4.9021881;52.3551985;
1530;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30077";"Z202";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9007299,52.3546874)";"POINT(52.3546874,4.9007299)";4.9007299;52.3546874;
1531;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30078";"Z203";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9005291,52.3546759)";"POINT(52.3546759,4.9005291)";4.9005291;52.3546759;
1532;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30079";"Z204";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.900327,52.3546187)";"POINT(52.3546187,4.900327)";4.900327;52.3546187;
1533;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30080";"Z205";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.90014,52.3545539)";"POINT(52.3545539,4.90014)";4.90014;52.3545539;
1534;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30081";"Z206";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8999569,52.3545004)";"POINT(52.3545004,4.8999569)";4.8999569;52.3545004;
1535;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30082";"Z207";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8997581,52.3544394)";"POINT(52.3544394,4.8997581)";4.8997581;52.3544394;
1536;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30083";"Z208";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8995402,52.3543746)";"POINT(52.3543746,4.8995402)";4.8995402;52.3543746;
1537;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30085";"Z209";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8938048,52.3532225)";"POINT(52.3532225,4.8938048)";4.8938048;52.3532225;
1538;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30087";"Z210";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8933132,52.3531539)";"POINT(52.3531539,4.8933132)";4.8933132;52.3531539;
1539;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30089";"Z211";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8928168,52.353089)";"POINT(52.353089,4.8928168)";4.8928168;52.353089;
1540;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30093";"Z212";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8923671,52.353028)";"POINT(52.353028,4.8923671)";4.8923671;52.353028;
1541;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30092";"Z213";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8921578,52.3530013)";"POINT(52.3530013,4.8921578)";4.8921578;52.3530013;
1542;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30131";"Z214";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8916199,52.3527571)";"POINT(52.3527571,4.8916199)";4.8916199;52.3527571;
1543;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30133";"Z215";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8919332,52.3528029)";"POINT(52.3528029,4.8919332)";4.8919332;52.3528029;
1544;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30132";"Z216";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8922112,52.3528411)";"POINT(52.3528411,4.8922112)";4.8922112;52.3528411;
1545;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30134";"Z217";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8924658,52.3528754)";"POINT(52.3528754,4.8924658)";4.8924658;52.3528754;
1546;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30135";"Z218";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8927438,52.3529097)";"POINT(52.3529097,4.8927438)";4.8927438;52.3529097;
1547;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30136";"Z219";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.893019,52.3529479)";"POINT(52.3529479,4.893019)";4.893019;52.3529479;
1548;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30137";"Z220";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8932621,52.3529746)";"POINT(52.3529746,4.8932621)";4.8932621;52.3529746;
1549;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30138";"Z221";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.8934829,52.3530127)";"POINT(52.3530127,4.8934829)";4.8934829;52.3530127;
1550;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30146";"Z222";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9001629,52.3543822)";"POINT(52.3543822,4.9001629)";4.9001629;52.3543822;
1551;"Plataan";"Platanus xhispanica";1960;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30143";"Z223";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9003642,52.3544432)";"POINT(52.3544432,4.9003642)";4.9003642;52.3544432;
1552;"Plataan";"Platanus xhispanica";1960;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30150";"Z224";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9034069,52.3553969)";"POINT(52.3553969,4.9034069)";4.9034069;52.3553969;
1553;"Plataan";"Platanus xhispanica";1903;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30152";"Z225";"Monumentale boom";"BOOM_100PLUS";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9038331,52.3555304)";"POINT(52.3555304,4.9038331)";4.9038331;52.3555304;
1554;"Plataan";"Platanus xhispanica";1950;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30072";"Z226";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9030888,52.355477)";"POINT(52.355477,4.9030888)";4.9030888;52.355477;
1555;"Plataan";"Platanus xhispanica";1950;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30071";"Z227";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9032819,52.3555419)";"POINT(52.3555419,4.9032819)";4.9032819;52.3555419;
1556;"Plataan";"Platanus xhispanica";1960;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30070";"Z228";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9036272,52.3556525)";"POINT(52.3556525,4.9036272)";4.9036272;52.3556525;
1557;"Plataan";"Platanus xhispanica";1950;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30069";"Z229";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9038689,52.3557288)";"POINT(52.3557288,4.9038689)";4.9038689;52.3557288;
1558;"Plataan";"Platanus xhispanica";1950;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30067";"Z230";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9042971,52.3558661)";"POINT(52.3558661,4.9042971)";4.9042971;52.3558661;
1559;"Plataan";"Platanus xhispanica";1950;"100-200 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30066";"Z231";"Monumentale boom";"BOOM_50_80";"boom 30068+.jpg";"Ja";"Boom 30068+.pdf";"POINT(4.9045212,52.3559348)";"POINT(52.3559348,4.9045212)";4.9045212;52.3559348;
1560;"Groene trompetboom";"Catalpa bignonioides";1950;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31273";"Z232";"Monumentale boom";"BOOM_50_80";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.896002,52.3536841)";"POINT(52.3536841,4.896002)";4.896002;52.3536841;
1561;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30940";"Z233";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.896641,52.355065)";"POINT(52.355065,4.896641)";4.896641;52.355065;
1562;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30942";"Z234";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8968332,52.3551108)";"POINT(52.3551108,4.8968332)";4.8968332;52.3551108;
1563;"Esdoorn";"Acer";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30943";"Z235";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.897217,52.3551795)";"POINT(52.3551795,4.897217)";4.897217;52.3551795;
1564;"Witte Paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31623";"Z236";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.897351,52.3552214)";"POINT(52.3552214,4.897351)";4.897351;52.3552214;
1565;"Witte Paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31615";"Z237";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8975012,52.3552519)";"POINT(52.3552519,4.8975012)";4.8975012;52.3552519;
1566;"Witte Paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"100-200 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31154";"Z238";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8975131,52.3539816)";"POINT(52.3539816,4.8975131)";4.8975131;52.3539816;
1567;"Witte Paardenkastanje";"Aesculus hippocastanum";1930;"300-400 cm";"100-200 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31292";"Z239";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8950322,52.3534819)";"POINT(52.3534819,4.8950322)";4.8950322;52.3534819;
1568;"Witte Paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31352";"Z240";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8942468,52.3538977)";"POINT(52.3538977,4.8942468)";4.8942468;52.3538977;
1569;"Witte Paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30833";"Z241";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8940389,52.3541991)";"POINT(52.3541991,4.8940389)";4.8940389;52.3541991;
1570;"Plataan";"Platanus xhispanica";1891;"300-400 cm";"100-200 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30864";"Z243";"Monumentale boom";"BOOM_100PLUS";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8945649,52.3545615)";"POINT(52.3545615,4.8945649)";4.8945649;52.3545615;
1571;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30936";"Z244";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8959949,52.3549277)";"POINT(52.3549277,4.8959949)";4.8959949;52.3549277;
1572;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31624";"Z245";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.895673,52.3548438)";"POINT(52.3548438,4.895673)";4.895673;52.3548438;
1573;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30876";"Z246";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8954828,52.3548094)";"POINT(52.3548094,4.8954828)";4.8954828;52.3548094;
1574;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30874";"Z247";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8951399,52.3547331)";"POINT(52.3547331,4.8951399)";4.8951399;52.3547331;
1575;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"300-400 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30984";"Z248";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8982222,52.3552329)";"POINT(52.3552329,4.8982222)";4.8982222;52.3552329;
1576;"Veldesdoorn";"Acer campestre";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"30985";"Z250";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8981588,52.3552062)";"POINT(52.3552062,4.8981588)";4.8981588;52.3552062;
1577;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31004";"Z251";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.898442,52.3549391)";"POINT(52.3549391,4.898442)";4.898442;52.3549391;
1578;"Veldesdoorn";"Acer campestre";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31006";"Z252";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8985188,52.3548438)";"POINT(52.3548438,4.8985188)";4.8985188;52.3548438;
1579;"Paardenkastanje";"Aesculus hippocastanum";1930;"200-300 cm";"50  -100 cm";"Beeldbepalende waarde - Cultuurhistorische waarde";"";"31033";"Z253";"Monumentale boom";"BOOM_80_100";"boom 31273+.jpg";"Ja";"boom 31273+.pdf";"POINT(4.8985641,52.3547865)";"POINT(52.3547865,4.8985641)";4.8985641;52.3547865;
